text_generator;text_length;wildcards;pattern_length;searcher;test_result_duration_nano;test_result_char_comparisons
DNA;100000;false;2700;KMP (Standard Borders);424006;138308
DNA;100000;false;2700;KMP (Precise Borders);414974;139742
DNA;100000;false;2800;Naive;476180;136145
DNA;100000;false;2800;KMP (Standard Borders);421464;138400
DNA;100000;false;2800;KMP (Precise Borders);412828;139739
DNA;100000;false;2900;Naive;475432;136247
DNA;100000;false;2900;KMP (Standard Borders);420783;138571
DNA;100000;false;2900;KMP (Precise Borders);412816;139913
DNA;100000;false;3000;Naive;474618;136307
DNA;100000;false;3000;KMP (Standard Borders);420012;138710
DNA;100000;false;3000;KMP (Precise Borders);411734;139969
DNA;100000;true;100;Naive;510540;133807
DNA;100000;true;100;KMP (Standard Borders);1447178;447358
DNA;100000;true;100;KMP (Precise Borders);1402172;443357
DNA;100000;true;200;Naive;512840;134448
DNA;100000;true;200;KMP (Standard Borders);1485672;461051
DNA;100000;true;200;KMP (Precise Borders);1433272;456706
DNA;100000;true;300;Naive;510509;133915
DNA;100000;true;300;KMP (Standard Borders);1446539;448226
DNA;100000;true;300;KMP (Precise Borders);1390006;444155
DNA;100000;true;400;Naive;508351;133571
DNA;100000;true;400;KMP (Standard Borders);1496975;468043
DNA;100000;true;400;KMP (Precise Borders);1435792;462624
DNA;100000;true;500;Naive;512469;133750
DNA;100000;true;500;KMP (Standard Borders);1471851;455607
DNA;100000;true;500;KMP (Precise Borders);1413712;451839
DNA;100000;true;600;Naive;513680;134594
DNA;100000;true;600;KMP (Standard Borders);1481520;458743
DNA;100000;true;600;KMP (Precise Borders);1423804;455165
DNA;100000;true;700;Naive;507933;133518
DNA;100000;true;700;KMP (Standard Borders);1457891;453375
DNA;100000;true;700;KMP (Precise Borders);1402177;449311
DNA;100000;true;800;Naive;511135;134073
DNA;100000;true;800;KMP (Standard Borders);1520316;473477
DNA;100000;true;800;KMP (Precise Borders);1464466;469322
DNA;100000;true;900;Naive;510057;133698
DNA;100000;true;900;KMP (Standard Borders);1537570;479348
DNA;100000;true;900;KMP (Precise Borders);1483421;475203
DNA;100000;true;1000;Naive;508303;133650
DNA;100000;true;1000;KMP (Standard Borders);1548649;484827
DNA;100000;true;1000;KMP (Precise Borders);1498255;480424
DNA;100000;true;1100;Naive;509416;133683
DNA;100000;true;1100;KMP (Standard Borders);1470492;458592
DNA;100000;true;1100;KMP (Precise Borders);1423699;454541
DNA;100000;true;1200;Naive;511079;133766
DNA;100000;true;1200;KMP (Standard Borders);1448563;452369
DNA;100000;true;1200;KMP (Precise Borders);1402028;448585
DNA;100000;true;1300;Naive;503686;133661
DNA;100000;true;1300;KMP (Standard Borders);1617271;508200
DNA;100000;true;1300;KMP (Precise Borders);1557372;503448
DNA;100000;true;1400;Naive;508525;133888
DNA;100000;true;1400;KMP (Standard Borders);1505534;471647
DNA;100000;true;1400;KMP (Precise Borders);1455767;468467
DNA;100000;true;1500;Naive;508604;133790
DNA;100000;true;1500;KMP (Standard Borders);1464295;459801
DNA;100000;true;1500;KMP (Precise Borders);1412795;456157
DNA;100000;true;1600;Naive;507586;133839
DNA;100000;true;1600;KMP (Standard Borders);1483409;465564
DNA;100000;true;1600;KMP (Precise Borders);1429165;462087
DNA;100000;true;1700;Naive;505763;133935
DNA;100000;true;1700;KMP (Standard Borders);1523532;480263
DNA;100000;true;1700;KMP (Precise Borders);1474769;476785
DNA;100000;true;1800;Naive;509895;133881
DNA;100000;true;1800;KMP (Standard Borders);1459749;456673
DNA;100000;true;1800;KMP (Precise Borders);1409536;453230
DNA;100000;true;1900;Naive;511659;134000
DNA;100000;true;1900;KMP (Standard Borders);1468838;457316
DNA;100000;true;1900;KMP (Precise Borders);1416318;454679
DNA;100000;true;2000;Naive;510297;133864
DNA;100000;true;2000;KMP (Standard Borders);1566273;489464
DNA;100000;true;2000;KMP (Precise Borders);1513720;486593
DNA;100000;true;2100;Naive;513124;134001
DNA;100000;true;2100;KMP (Standard Borders);1546914;481956
DNA;100000;true;2100;KMP (Precise Borders);1494892;479577
DNA;100000;true;2200;Naive;512312;133996
DNA;100000;true;2200;KMP (Standard Borders);1487040;463563
DNA;100000;true;2200;KMP (Precise Borders);1435857;461433
DNA;100000;true;2300;Naive;509736;134072
DNA;100000;true;2300;KMP (Standard Borders);1469088;459612
DNA;100000;true;2300;KMP (Precise Borders);1415556;456920
DNA;100000;true;2400;Naive;507653;134110
